device_id,device_first_seen_at,os_type,os_version,app_version,biometric_capable_flag,device_status,rooted_or_compromised_flag,emulator_flag
D000103,2023-07-21 04:26:00,android,16,13.0.1,False,active,False,False
D000104,2025-11-10 20:55:00,ios,17.4,13.0.1,True,active,False,False
D000105,2024-04-11 00:36:00,android,17,12.3.2,True,active,False,False
D000106,2025-05-15 04:12:00,ios,17,13.0.1,True,active,False,False
D000107,2024-07-12 14:56:00,ios,17,13.0.1,True,active,False,False
D000108,2025-09-10 20:30:00,ios,17.4,12.3.2,True,active,False,False
D000109,2024-04-26 18:03:00,android,16,13.0.1,True,active,False,False
D000110,2024-12-03 02:40:00,ios,14,12.3.2,False,active,False,False
D000111,2024-06-25 20:13:00,ios,14,13.0.1,True,active,False,False
D000112,2024-10-19 22:35:00,android,17,12.1.0,True,active,False,False
D000113,2024-06-08 23:42:00,android,14,12.1.0,True,active,False,False
D000114,2023-01-03 06:51:00,android,16,12.1.0,True,active,False,False
D000115,2026-03-28 10:22:00,ios,14,13.0.1,True,active,False,False
D000116,2024-11-10 14:44:00,ios,15,12.1.0,True,active,False,False
D000117,2024-03-03 16:27:00,ios,17.4,12.3.2,True,active,False,False
D000118,2023-08-30 14:34:00,ios,17,12.3.2,False,active,False,False
D000119,2026-02-27 21:59:00,ios,14,13.0.1,True,active,False,False
D000120,2026-02-11 06:42:00,ios,17,12.3.2,True,active,False,False
D000121,2025-11-26 21:53:00,android,17,12.3.2,True,active,False,False
D000122,2025-06-28 17:48:00,ios,17,12.3.2,False,active,False,False
D000123,2025-05-08 05:39:00,android,15,13.0.1,True,active,False,False
D000124,2023-03-27 21:10:00,ios,14,12.1.0,True,replaced,False,False
D000125,2023-08-05 09:06:00,android,16,13.0.1,True,active,False,False
D000126,2023-04-20 19:40:00,ios,15,12.3.2,True,active,True,False
D000127,2023-08-27 06:16:00,ios,17,12.1.0,True,replaced,False,False
D000128,2026-03-29 06:02:00,android,16,13.0.1,True,active,False,False
D000129,2023-07-14 16:15:00,android,16,12.1.0,True,active,False,False
D000130,2024-01-30 20:27:00,ios,15,13.0.1,True,active,False,False
D000131,2023-03-01 02:03:00,ios,15,12.1.0,True,active,False,False
D000132,2025-05-05 14:34:00,android,17.4,12.1.0,True,active,False,False
D000133,2025-02-20 09:10:00,ios,17,12.1.0,True,flagged,False,False
D000134,2023-10-05 11:14:00,android,15,13.0.1,True,active,False,False
D000135,2023-11-13 04:52:00,android,16,12.1.0,True,active,False,False
D000136,2024-03-28 09:15:00,ios,17.4,12.1.0,True,active,False,False
D000137,2025-02-05 21:44:00,ios,17,12.1.0,True,active,False,False
D000138,2024-10-01 12:42:00,ios,16,12.1.0,False,active,False,False
D000139,2023-02-19 10:59:00,ios,17,13.0.1,True,active,False,False
D000140,2026-03-24 03:31:00,ios,14,12.3.2,True,inactive,False,False
D000141,2023-03-19 02:12:00,android,16,13.0.1,True,active,False,False
D000142,2025-04-27 18:24:00,ios,17.4,12.1.0,True,active,True,False
D000143,2023-01-23 21:49:00,ios,15,12.1.0,True,active,False,False
D000144,2026-01-03 00:56:00,ios,17,13.0.1,True,active,False,False
D000145,2024-05-14 12:55:00,ios,17.4,12.3.2,True,active,False,False
D000146,2025-04-04 20:12:00,android,17.4,13.0.1,True,active,False,False
D000147,2024-04-06 17:48:00,ios,17.4,12.3.2,True,active,False,False
D000148,2025-04-11 15:13:00,ios,16,13.0.1,True,active,False,False
D000149,2024-06-12 23:58:00,android,17,12.3.2,True,active,False,False
D000150,2025-01-09 11:23:00,android,16,12.3.2,True,active,False,False
D000151,2024-02-05 11:59:00,android,17.4,13.0.1,True,replaced,False,False
D000152,2025-02-22 23:04:00,android,14,12.1.0,False,active,False,False
D000153,2025-01-01 11:46:00,android,16,12.3.2,False,active,False,False
D000154,2025-07-25 20:05:00,ios,16,13.0.1,True,active,False,False
D000155,2024-04-19 07:02:00,android,17.4,13.0.1,True,active,False,False
D000156,2025-12-27 16:36:00,ios,14,12.3.2,True,active,False,False
D000157,2024-07-09 20:13:00,android,16,12.3.2,True,replaced,False,False
D000158,2025-07-07 22:51:00,android,16,13.0.1,True,active,False,False
D000159,2024-11-17 00:22:00,ios,17.4,13.0.1,True,active,False,False
D000160,2023-01-24 21:22:00,android,17.4,12.3.2,True,active,False,False
D000161,2024-07-17 04:34:00,android,14,12.3.2,True,active,False,False
D000162,2024-02-07 08:48:00,ios,16,13.0.1,True,active,False,False
D000163,2025-03-17 05:16:00,android,16,12.1.0,True,active,False,False
D000164,2025-03-24 04:21:00,ios,15,13.0.1,True,active,False,False
D000165,2025-08-11 02:17:00,android,15,12.3.2,True,active,False,False
D000166,2024-08-20 21:32:00,android,14,13.0.1,True,active,False,False
D000167,2023-08-22 03:25:00,ios,15,12.3.2,False,active,False,False
D000168,2023-03-09 16:46:00,ios,17.4,12.1.0,False,active,False,False
D000169,2025-09-12 06:45:00,ios,15,13.0.1,True,active,False,False
D000170,2026-04-03 03:15:00,android,16,12.3.2,True,active,False,False
D000171,2023-07-18 17:37:00,android,15,12.1.0,True,active,False,False
D000172,2026-02-10 18:16:00,ios,15,12.3.2,True,active,False,False
D000173,2025-03-31 06:54:00,ios,17.4,12.3.2,True,active,False,False
D000174,2026-02-22 09:43:00,android,14,12.1.0,True,active,False,False
D000175,2025-08-19 22:57:00,ios,14,13.0.1,True,active,False,False
D000176,2024-02-27 13:52:00,ios,14,12.1.0,True,active,False,False
D000177,2025-06-17 18:34:00,ios,17,12.3.2,True,active,False,False
D000178,2023-03-29 17:44:00,android,15,13.0.1,False,active,False,False
D000179,2025-10-31 06:18:00,android,17.4,13.0.1,True,active,False,False
D000180,2024-10-03 19:15:00,android,14,13.0.1,True,active,True,False
D000181,2025-05-27 12:18:00,android,16,12.1.0,True,active,False,False
D000182,2024-09-29 21:47:00,android,17,12.3.2,True,active,False,False
D000183,2025-06-01 17:23:00,android,15,12.3.2,True,active,False,False
D000184,2024-02-28 03:14:00,ios,17,12.1.0,True,active,False,False
D000185,2023-03-26 18:25:00,ios,15,12.1.0,True,replaced,False,False
D000186,2025-06-19 20:06:00,ios,14,12.1.0,True,flagged,False,False
D000187,2024-10-05 09:10:00,android,14,12.1.0,True,active,False,False
D000188,2023-08-20 11:58:00,android,17,12.1.0,True,active,False,False
D000189,2023-11-23 17:18:00,android,17,13.0.1,True,active,False,False
D000190,2023-01-29 11:59:00,ios,17,12.1.0,True,active,False,False
D000191,2025-06-11 00:08:00,android,17.4,12.3.2,True,active,False,False
D000192,2023-08-21 23:34:00,android,16,13.0.1,True,active,False,False
D000193,2023-09-30 01:27:00,android,15,12.3.2,True,active,False,False
D000194,2024-09-06 08:09:00,android,15,12.3.2,True,replaced,False,False
D000195,2024-12-26 20:51:00,android,17,13.0.1,True,active,False,False
D000196,2023-04-22 01:05:00,android,17,12.1.0,True,active,False,False
D000197,2024-01-31 18:23:00,ios,16,12.3.2,True,active,False,False
D000198,2025-04-26 02:20:00,ios,16,12.3.2,True,active,False,False
D000199,2025-06-17 20:57:00,ios,14,12.1.0,True,replaced,False,False
D000200,2023-11-24 18:33:00,android,17.4,12.1.0,True,active,False,False
D000201,2025-12-24 13:31:00,android,15,13.0.1,True,inactive,False,False
D000202,2025-05-29 00:12:00,android,15,12.1.0,True,active,False,False
D000203,2025-09-14 15:12:00,ios,14,12.3.2,True,active,False,False
D000204,2024-08-16 06:03:00,ios,17,12.1.0,True,active,False,False
D000205,2025-03-31 18:58:00,android,17.4,12.1.0,True,active,False,False
D000206,2023-09-22 15:53:00,android,17,12.3.2,True,active,False,False
D000207,2025-07-06 16:10:00,ios,17,12.1.0,True,replaced,False,False
D000208,2024-11-16 18:24:00,ios,14,12.1.0,True,active,False,False
D000209,2023-12-30 07:57:00,ios,16,12.3.2,True,active,False,False
D000210,2026-02-12 13:34:00,android,16,13.0.1,True,active,False,False
D000211,2023-10-03 14:19:00,android,15,12.1.0,True,active,False,False
D000212,2025-05-15 02:18:00,android,17,12.3.2,True,active,False,False
D000213,2025-03-26 16:59:00,android,17.4,12.1.0,False,active,False,False
D000214,2024-12-22 23:56:00,android,16,13.0.1,True,active,False,False
D000215,2025-04-25 13:23:00,android,17,13.0.1,True,inactive,False,False
D000216,2023-04-07 18:53:00,ios,17.4,12.3.2,True,active,False,False
D000217,2023-02-28 20:18:00,ios,15,12.1.0,True,inactive,False,False
D000218,2023-07-31 17:24:00,android,15,12.3.2,False,active,False,False
D000219,2025-06-09 11:48:00,android,17,13.0.1,True,active,False,False
D000220,2023-04-08 04:14:00,ios,16,13.0.1,True,active,False,False
D000221,2025-04-21 05:25:00,ios,17,12.3.2,True,active,False,False
D000222,2025-07-27 20:14:00,ios,15,12.1.0,True,active,False,False
D000223,2025-06-03 00:42:00,android,16,12.3.2,False,active,False,False
D000224,2023-09-15 13:51:00,ios,16,12.1.0,True,active,False,False
D000225,2023-11-30 14:15:00,android,17,13.0.1,True,active,False,False
D000226,2023-05-22 13:06:00,android,17,12.3.2,True,active,False,False
D000227,2024-04-19 17:46:00,android,17,12.1.0,True,active,False,False
D000228,2024-09-17 06:34:00,android,16,12.1.0,True,active,False,False
D000229,2023-01-17 18:33:00,ios,14,12.1.0,True,active,False,False
D000230,2025-12-23 01:04:00,ios,14,13.0.1,True,replaced,False,False
D000231,2025-07-20 14:18:00,android,17,12.1.0,True,active,False,False
D000232,2023-01-06 13:13:00,android,16,12.3.2,True,active,False,False
D000233,2024-02-09 07:26:00,ios,17,12.1.0,True,active,False,False
D000234,2024-05-05 06:32:00,android,15,13.0.1,True,active,False,False
D000235,2023-06-21 06:25:00,ios,17,13.0.1,True,active,False,False
D000236,2024-06-26 06:55:00,ios,15,12.1.0,True,active,False,False
D000237,2023-03-18 07:11:00,android,14,12.1.0,True,active,False,False
D000238,2024-09-03 11:41:00,ios,17.4,12.1.0,False,active,False,False
D000239,2025-10-11 17:11:00,ios,16,13.0.1,True,active,False,False
D000240,2024-11-10 08:59:00,ios,15,12.1.0,True,active,False,False
D000241,2024-12-20 03:04:00,android,17,12.1.0,True,active,False,False
D000242,2023-07-06 03:51:00,android,15,12.1.0,True,active,False,False
D000243,2026-01-21 08:52:00,android,17.4,12.3.2,True,active,False,False
D000244,2023-12-19 01:42:00,android,15,12.1.0,True,active,False,False
D000245,2024-01-28 16:50:00,ios,14,12.3.2,False,active,False,False
D000246,2025-11-20 19:29:00,ios,14,13.0.1,True,active,False,False
D000247,2024-08-24 10:47:00,android,14,12.1.0,True,active,False,False
D000248,2023-07-07 09:24:00,android,17.4,12.3.2,True,active,False,False
D000249,2023-09-14 06:49:00,ios,14,12.3.2,True,active,False,False
D000250,2025-12-20 01:14:00,android,14,12.1.0,True,active,False,False
D000251,2024-09-12 22:16:00,android,17,13.0.1,True,active,False,False
D000252,2024-06-28 18:10:00,ios,14,13.0.1,True,inactive,False,False
D000253,2026-02-07 22:09:00,android,17.4,12.3.2,True,active,False,False
D000254,2026-03-31 16:17:00,android,15,12.1.0,True,active,False,False
D000255,2024-04-12 01:13:00,ios,15,13.0.1,True,active,False,False
D000256,2023-05-14 06:22:00,ios,17,12.3.2,True,inactive,False,False
D000257,2023-04-18 11:26:00,ios,16,13.0.1,True,active,False,False
D000258,2024-10-14 08:39:00,android,15,12.3.2,True,active,False,False
D000259,2026-01-25 07:51:00,android,16,13.0.1,True,active,False,False
D000260,2024-07-12 04:42:00,android,14,12.1.0,True,active,False,False
D000261,2025-05-05 22:22:00,ios,16,12.3.2,True,active,False,False
D000262,2023-06-09 03:17:00,ios,17,12.3.2,True,active,False,False
D000263,2024-05-18 16:40:00,android,17,12.3.2,True,active,True,False
D000264,2025-06-09 04:29:00,android,17.4,12.3.2,False,active,False,False
D000265,2025-02-09 22:41:00,ios,17.4,12.3.2,True,active,False,False
D000266,2024-10-29 11:00:00,ios,17,13.0.1,False,active,False,False
D000267,2026-03-03 03:48:00,android,17.4,13.0.1,True,active,False,False
D000268,2023-07-18 16:32:00,android,17.4,12.3.2,True,active,False,False
D000269,2024-06-06 01:59:00,ios,14,13.0.1,True,active,False,False
D000270,2026-03-18 08:11:00,android,14,13.0.1,False,active,False,False
D000271,2025-08-13 22:02:00,ios,17.4,12.1.0,True,active,False,False
D000272,2025-12-24 08:55:00,android,14,12.3.2,True,replaced,False,False
D000273,2023-10-05 22:11:00,ios,15,12.1.0,True,active,False,False
D000274,2025-04-20 14:39:00,ios,16,13.0.1,True,active,False,False
D000275,2023-08-18 23:45:00,android,17,13.0.1,False,active,False,False
D000276,2023-08-18 08:44:00,ios,16,13.0.1,True,active,False,False
D000277,2023-05-08 15:43:00,android,14,13.0.1,False,active,False,False
D000278,2024-01-11 03:13:00,android,17,13.0.1,True,replaced,False,False
D000279,2025-04-23 01:42:00,android,15,13.0.1,True,active,False,False
D000280,2023-07-28 02:02:00,android,17,12.1.0,True,active,False,False
D000281,2023-03-02 10:57:00,ios,15,12.3.2,True,replaced,False,False
D000282,2025-06-11 17:32:00,android,16,13.0.1,True,active,False,False
D000283,2023-04-23 07:27:00,ios,14,12.1.0,True,flagged,False,False
D000284,2023-07-17 18:15:00,ios,17.4,13.0.1,True,active,False,False
D000285,2026-01-29 16:32:00,ios,16,13.0.1,True,active,False,False
D000286,2023-12-24 12:39:00,ios,17.4,12.3.2,True,active,False,False
D000287,2024-07-01 20:56:00,ios,17,12.3.2,True,active,False,False
D000288,2023-08-08 16:18:00,android,14,12.1.0,True,active,False,False
D000289,2025-01-04 10:01:00,ios,15,13.0.1,True,replaced,False,False
D000290,2026-02-02 20:15:00,android,14,13.0.1,True,active,False,False
D000291,2024-01-13 19:40:00,android,14,12.1.0,True,active,False,False
D000292,2024-04-08 04:51:00,android,17,13.0.1,False,active,False,False
D000293,2024-01-13 06:34:00,ios,17,12.1.0,True,active,False,False
D000294,2024-12-27 19:55:00,ios,14,13.0.1,True,active,False,False
D000295,2026-03-20 02:53:00,ios,15,12.1.0,True,active,False,False
D000296,2023-04-15 02:25:00,android,17,13.0.1,True,active,False,False
D000297,2025-09-16 15:47:00,android,14,12.3.2,False,active,False,False
D000298,2024-04-11 01:31:00,android,15,12.1.0,True,active,False,False
D000299,2025-06-17 14:32:00,android,15,13.0.1,False,replaced,False,False
D000300,2023-01-26 10:43:00,ios,17.4,12.3.2,True,active,False,False
D000301,2026-02-24 03:53:00,ios,14,13.0.1,True,active,False,False
D000302,2025-07-24 00:41:00,ios,17,12.3.2,True,inactive,False,False
D000303,2024-08-09 19:08:00,android,17,12.1.0,True,active,False,False
D000304,2026-04-10 04:07:00,android,15,12.3.2,True,active,False,False
D000305,2024-08-15 04:59:00,android,15,13.0.1,True,active,False,False
D000306,2023-12-13 23:39:00,android,16,12.1.0,True,active,False,False
D000307,2023-08-28 05:03:00,android,17,12.1.0,True,replaced,False,False
D000308,2024-09-04 18:46:00,android,16,13.0.1,True,replaced,False,False
D000309,2023-03-14 18:17:00,android,17,13.0.1,False,active,False,False
D000310,2024-07-26 20:44:00,ios,17,13.0.1,True,active,False,False
D000311,2026-02-22 15:33:00,ios,17,12.1.0,False,active,False,False
D000312,2023-07-11 03:35:00,android,17,12.3.2,False,active,False,False
D000313,2025-12-16 00:54:00,ios,17.4,13.0.1,True,active,False,False
D000314,2023-10-03 20:54:00,ios,17.4,13.0.1,False,active,False,False
D000315,2023-06-06 01:07:00,ios,17.4,12.1.0,True,active,False,False
D000316,2024-09-13 22:35:00,ios,16,12.1.0,True,active,False,False
D000317,2024-04-12 22:44:00,ios,15,13.0.1,True,active,False,False
D000318,2024-08-05 15:57:00,ios,15,12.3.2,True,active,False,False
D000319,2025-08-17 00:28:00,ios,15,13.0.1,True,active,False,False
D000320,2023-02-12 14:12:00,ios,14,12.3.2,True,active,False,False
D000321,2026-04-09 08:35:00,ios,17.4,12.3.2,True,active,False,False
D000322,2025-09-07 10:57:00,ios,15,12.3.2,True,active,False,False
D000323,2025-10-07 15:36:00,android,17.4,13.0.1,True,active,False,False
D000324,2025-01-10 16:20:00,android,17.4,12.3.2,True,active,False,False
D000325,2025-02-18 06:27:00,android,14,12.3.2,False,active,False,False
D000326,2025-03-09 02:28:00,android,15,12.1.0,True,active,False,False
D000327,2023-08-06 12:56:00,ios,17,12.3.2,True,active,False,False
D000328,2025-04-04 21:52:00,ios,14,13.0.1,True,active,False,False
D000329,2025-05-02 08:15:00,ios,17.4,12.3.2,True,active,False,False
D000330,2025-01-13 05:20:00,ios,15,12.3.2,True,active,False,False
D000331,2025-08-19 02:18:00,android,17.4,12.3.2,True,active,False,False
D000332,2025-09-02 16:32:00,android,17.4,12.1.0,False,active,False,False
D000333,2023-11-29 11:48:00,ios,17,12.3.2,True,replaced,False,False
D000334,2025-11-07 12:24:00,android,14,12.3.2,True,active,False,False
D000335,2023-02-06 23:59:00,ios,17,12.1.0,True,active,False,False
D000336,2023-09-19 03:03:00,android,17,12.3.2,True,active,False,False
D000337,2026-01-17 19:23:00,android,15,13.0.1,False,active,False,False
D000338,2023-10-16 21:18:00,ios,16,12.1.0,True,active,False,False
D000339,2025-09-26 22:40:00,android,17,12.1.0,True,active,False,False
D000340,2024-06-24 16:08:00,ios,15,13.0.1,True,active,False,False
D000341,2024-01-14 21:09:00,ios,15,12.3.2,True,active,False,False
D000342,2023-07-26 13:48:00,ios,14,12.3.2,True,active,False,False
D000343,2025-12-03 23:35:00,android,15,12.1.0,True,inactive,False,False
D000344,2026-02-01 11:59:00,android,17.4,13.0.1,True,active,False,False
D000345,2024-04-04 04:14:00,android,15,12.1.0,True,active,False,False
D000346,2024-12-01 06:54:00,ios,14,12.1.0,True,active,False,False
D000347,2024-09-20 12:10:00,ios,16,12.1.0,True,active,False,False
D000348,2023-07-29 15:49:00,ios,16,12.1.0,True,active,False,False
D000349,2023-05-19 09:15:00,ios,14,12.1.0,True,active,False,False
D000350,2023-11-02 04:36:00,android,16,13.0.1,True,replaced,False,False
D000351,2023-05-06 17:49:00,ios,15,13.0.1,True,active,False,False
D000352,2025-08-15 09:42:00,android,17.4,13.0.1,True,active,False,False
D000353,2025-03-24 18:34:00,android,15,12.1.0,False,active,False,False
D000354,2023-07-02 01:48:00,android,17.4,12.3.2,True,active,False,False
D000355,2024-04-03 15:23:00,ios,14,12.3.2,True,active,False,False
D000356,2024-11-01 03:01:00,ios,14,13.0.1,True,active,False,False
D000357,2024-07-23 23:59:00,android,16,12.3.2,False,active,False,False
D000358,2025-01-01 03:43:00,android,17.4,12.3.2,True,active,False,False
D000359,2024-08-16 01:43:00,android,16,13.0.1,True,active,False,False
D000360,2023-08-09 18:32:00,android,14,13.0.1,False,active,False,False
D000361,2025-01-16 18:26:00,ios,17,12.3.2,True,active,False,False
D000362,2023-02-26 10:37:00,android,14,12.3.2,True,active,False,False
D000363,2025-01-18 22:29:00,android,16,12.3.2,True,active,False,False
D000364,2024-04-17 22:17:00,ios,14,13.0.1,False,active,False,False
D000365,2025-08-08 05:50:00,ios,14,13.0.1,True,active,False,False
D000366,2023-10-23 07:27:00,android,16,13.0.1,True,active,False,False
D000367,2023-11-10 16:33:00,ios,14,12.3.2,True,replaced,False,False
D000368,2024-10-17 04:59:00,android,17.4,13.0.1,True,active,False,False
D000369,2024-10-23 05:49:00,ios,14,12.3.2,True,active,False,False
D000370,2024-03-02 03:24:00,ios,14,13.0.1,True,active,False,False
D000371,2024-10-30 06:19:00,ios,17.4,12.1.0,True,active,False,False
D000372,2025-04-12 19:19:00,android,17,12.3.2,True,active,False,False
D000373,2025-10-10 19:26:00,android,17.4,12.1.0,True,active,False,False
D000374,2023-07-10 07:34:00,ios,15,13.0.1,True,active,False,False
D000375,2025-09-06 00:36:00,android,17.4,12.1.0,True,active,False,False
D000376,2026-03-16 09:02:00,ios,17.4,12.3.2,True,inactive,False,False
D000377,2023-01-29 08:57:00,android,17,12.1.0,True,inactive,False,False
D000378,2026-01-26 16:04:00,android,14,12.1.0,True,active,False,False
D000379,2023-02-03 16:42:00,android,15,12.3.2,False,active,False,False
D000380,2025-03-07 06:39:00,android,17,12.1.0,True,active,False,False
D000381,2023-06-24 04:59:00,ios,17,12.1.0,True,active,False,False
D000382,2025-12-04 10:49:00,android,17.4,12.3.2,True,active,False,False
D000383,2025-03-08 21:59:00,android,16,12.3.2,True,active,False,False
D000384,2024-10-18 00:35:00,android,17,12.3.2,True,active,False,False
