session_id,target_post_login_fraud_flag,ml_score,split_name,ml_predicted_flag
SE007280,0,0.17974426,train,0
SE018743,0,0.16472636,train,0
SE016292,0,0.15766354,train,0
SE007693,0,0.24320845,train,0
SE007472,1,0.9992175,train,1
SE024058,0,0.16616933,train,0
SE014356,0,0.12491887,train,0
SE023884,0,0.16625603,train,0
SE021460,0,0.16625603,train,0
SE013396,0,0.17195003,train,0
SE000530,0,0.15939364,train,0
SE032270,0,0.137041,train,0
SE004721,0,0.0010012491,train,0
SE033310,0,0.20398486,train,0
SE034112,0,0.25403562,train,0
SE015890,0,0.28616127,train,0
SE026731,1,0.9995535,train,1
SE027252,1,0.9995921,train,1
SE036757,0,0.28639176,train,0
SE038280,0,0.0010897772,train,0
SE010382,0,0.20188454,train,0
SE018685,0,0.14693968,train,0
SE025179,0,0.0009300059,train,0
SE038883,0,0.21393786,train,0
SE009895,0,0.19730993,train,0
SE001158,0,0.23465031,train,0
SE031251,0,0.13300681,train,0
SE032300,1,0.9994209,train,1
SE012501,0,0.10991289,train,0
SE031380,0,0.12527598,train,0
SE031089,0,0.0010280013,train,0
SE017472,0,0.14511792,train,0
SE001119,0,0.1109516,train,0
SE014587,0,0.11864102,train,0
SE024547,0,0.11995769,train,0
SE030337,1,0.22347505,train,0
SE000722,0,0.17358984,train,0
SE007153,0,0.13140196,train,0
SE025399,0,0.15301776,train,0
SE025191,1,0.99955386,train,1
SE039704,1,0.99957675,train,1
SE011741,0,0.19384614,train,0
SE022742,0,0.17312822,train,0
SE024018,0,0.17535631,train,0
SE005260,0,0.20207538,train,0
SE009828,0,0.17685185,train,0
SE029112,1,0.9995735,train,1
SE038276,0,0.17131467,train,0
SE031715,0,0.22116883,train,0
SE000377,0,0.19677646,train,0
SE014644,1,0.20069191,train,0
SE018986,1,0.9997062,train,1
SE021059,0,0.19032937,train,0
SE034234,0,0.1772113,train,0
SE036460,1,0.99954104,train,1
SE004379,0,0.16364099,train,0
SE001545,0,0.15310869,train,0
SE012216,0,0.15687528,train,0
SE003392,0,0.14657855,train,0
SE007465,0,0.19176228,train,0
SE031501,0,0.13313715,train,0
SE023406,0,0.16028431,train,0
SE009797,0,0.21399412,train,0
SE019683,0,0.11755769,train,0
SE012384,0,0.14100938,train,0
SE026832,0,0.11696909,train,0
SE007467,0,0.08618002,train,0
SE006776,1,0.99952483,train,1
SE031450,0,0.11963036,train,0
SE005448,0,0.14307526,train,0
SE012203,0,0.176638,train,0
SE004038,0,0.15281118,train,0
SE001443,0,0.14674948,train,0
SE002903,0,0.16053756,train,0
SE005916,0,0.10292799,train,0
SE025381,0,0.15789853,train,0
SE010746,0,0.18262021,train,0
SE004416,0,0.111541085,train,0
SE031826,0,0.17899561,train,0
SE031640,1,0.185223,train,0
SE011756,0,0.11407038,train,0
SE027557,0,0.17899561,train,0
SE018744,1,0.9994955,train,1
SE020798,1,0.999554,train,1
SE025771,0,0.17644916,train,0
SE025589,0,0.11390478,train,0
SE030585,0,0.17146772,train,0
SE028838,1,0.22202973,train,0
SE026657,0,0.10711644,train,0
SE028296,0,0.1508289,train,0
SE011329,0,0.15508407,train,0
SE031729,0,0.14170574,train,0
SE006447,0,0.17351969,train,0
SE020326,0,0.0008426941,train,0
SE024682,0,0.16518271,train,0
SE000163,0,0.17002851,train,0
SE007537,0,0.13724491,train,0
SE033365,0,0.19750862,train,0
SE014460,0,0.19409923,train,0
SE023753,0,0.1553068,train,0
SE015389,0,0.16518271,train,0
SE035983,0,0.15599945,train,0
SE020123,0,0.15599945,train,0
SE002033,0,0.18642381,train,0
SE004562,0,0.1314326,train,0
SE022978,1,0.99956983,train,1
SE008397,0,0.20156904,train,0
SE008541,0,0.0005628386,train,0
SE010068,0,0.17301092,train,0
SE008826,0,0.13733883,train,0
SE027402,0,0.15672797,train,0
SE008149,0,0.0004910343,train,0
SE039824,0,0.17553315,train,0
SE036931,0,0.19225958,train,0
SE033350,0,0.14263557,train,0
SE019157,0,0.14935662,train,0
SE008924,0,0.16626446,train,0
SE035978,0,0.000598294,train,0
SE019704,0,0.15146545,train,0
SE039855,0,0.1432051,train,0
SE011828,0,0.16273014,train,0
SE034603,0,0.1792024,train,0
SE024909,0,0.2030708,train,0
SE000424,0,0.20257112,train,0
SE032254,0,0.09568257,train,0
SE032728,0,0.18068635,train,0
SE001852,1,0.9995704,train,1
SE030107,0,0.19193114,train,0
SE013457,1,0.99961287,train,1
SE000369,1,0.99943227,train,1
SE023902,0,0.14848673,train,0
SE032774,0,0.1514527,train,0
SE038494,0,0.12616098,train,0
SE029716,0,0.22680774,train,0
SE025721,0,0.14752083,train,0
SE013196,0,0.15876412,train,0
SE033353,0,0.16948912,train,0
SE007610,0,0.16787332,train,0
SE007935,0,0.17885712,train,0
SE006805,0,0.16751248,train,0
SE007219,0,0.19865458,train,0
SE005404,1,0.9995809,train,1
SE020107,1,0.9996271,train,1
SE034318,0,0.18118949,train,0
SE036842,0,0.0010023027,train,0
SE011707,0,0.1855677,train,0
SE005662,0,0.18889876,train,0
SE018076,0,0.16960594,train,0
SE032080,0,0.18865654,train,0
SE015573,0,0.16783121,train,0
SE038112,1,0.9996406,train,1
SE017996,0,0.00084990414,train,0
SE030146,0,0.14349258,train,0
SE018718,0,0.23230709,train,0
SE011430,0,0.17969917,train,0
SE001601,0,0.17297444,train,0
SE033938,0,0.17261644,train,0
SE037027,0,0.15050712,train,0
SE030840,1,0.99939764,train,1
SE024072,1,0.9995535,train,1
SE008428,1,0.16225988,train,0
SE000470,0,0.17494264,train,0
SE011363,0,0.17178692,train,0
SE035211,1,0.99951756,train,1
SE018576,0,0.0006330404,train,0
SE019532,0,0.15018341,train,0
SE003535,1,0.1730813,train,0
SE028314,0,0.14850701,train,0
SE026333,0,0.18832743,train,0
SE017041,0,0.1495102,train,0
SE016338,0,0.13403481,train,0
SE031554,1,0.99942577,train,1
SE029758,1,0.9995629,train,1
SE020686,1,0.9996025,train,1
SE000952,0,0.13215902,train,0
SE033840,0,0.19644374,train,0
SE017405,0,0.12278255,train,0
SE005332,0,0.12753619,train,0
SE036758,0,0.15055019,train,0
SE016973,0,0.0006912463,train,0
SE008363,0,0.0008237432,train,0
SE022287,1,0.99949026,train,1
SE002553,0,0.16192612,train,0
SE037391,0,0.12984231,train,0
SE026007,0,0.12904653,train,0
SE013467,0,0.16511522,train,0
SE002270,0,0.16541207,train,0
SE032021,0,0.16541207,train,0
SE015279,0,0.15413731,train,0
SE003059,1,0.19882756,train,0
SE024139,0,0.12865044,train,0
SE029432,0,0.21252513,train,0
SE009353,0,0.13755918,train,0
SE006553,0,0.0010603453,train,0
SE031425,0,0.16263896,train,0
SE005713,1,0.9994844,train,1
SE010506,0,0.19879109,train,0
SE017778,0,0.20761785,train,0
SE026966,0,0.122905545,train,0
SE035446,0,0.14451444,train,0
SE002530,0,0.15129821,train,0
SE029634,0,0.16118516,train,0
SE033832,1,0.9994843,train,1
SE031310,0,0.0004217777,train,0
SE018804,1,0.9993574,train,1
SE021601,0,0.00111427,train,0
SE018983,0,0.17199105,train,0
SE001117,0,0.21320687,train,0
SE015622,0,0.14066039,train,0
SE006194,0,0.14066039,train,0
SE027447,1,0.99937314,train,1
SE019519,0,0.0006523588,train,0
SE036499,0,0.15932073,train,0
SE020088,0,0.23048696,train,0
SE005674,0,0.21156828,train,0
SE036633,0,0.17959368,train,0
SE014523,0,0.24320845,train,0
SE014518,0,0.1496065,train,0
SE035269,0,0.18218529,train,0
SE022491,0,0.14860448,train,0
SE018293,0,0.17244816,train,0
SE002401,1,0.9996111,train,1
SE025833,0,0.15500611,train,0
SE001423,0,0.12856942,train,0
SE000488,1,0.99970454,train,1
SE018749,0,0.07089228,train,0
SE023528,0,0.19353415,train,0
SE017317,0,0.11593721,train,0
SE022294,0,0.19191548,train,0
SE016816,1,0.9995956,train,1
SE026550,0,0.18820032,train,0
SE016300,0,0.057311773,train,0
SE022180,0,0.0008306812,train,0
SE030233,0,0.0009573021,train,0
SE008019,0,0.22643238,train,0
SE015327,1,0.9997229,train,1
SE029838,1,0.9996377,train,1
SE010035,0,0.18764244,train,0
SE004097,1,0.9996574,train,1
SE007033,0,0.16374764,train,0
SE009508,0,0.16421998,train,0
SE004304,0,0.24892461,train,0
SE008971,0,0.09481365,train,0
SE030834,0,0.15512083,train,0
SE039116,0,0.1678548,train,0
SE019232,1,0.9995012,train,1
SE020287,0,0.1958828,train,0
SE033478,0,0.17550716,train,0
SE010424,0,0.17392513,train,0
SE004176,1,0.9995734,train,1
SE009458,0,0.001007858,train,0
SE006781,0,0.23653208,train,0
SE032724,0,0.00078448164,train,0
SE038652,0,0.22821459,train,0
SE009391,0,0.19507928,train,0
SE039068,0,0.16322023,train,0
SE033148,1,0.9996557,train,1
SE030779,0,0.14585556,train,0
SE036852,0,0.20062165,train,0
SE018801,0,0.15178657,train,0
SE039438,0,0.0006095138,train,0
SE004887,0,0.0005865135,train,0
SE034919,0,0.14206877,train,0
SE006714,0,0.19180907,train,0
SE023629,0,0.14585556,train,0
SE002095,0,0.11067613,train,0
SE019377,1,0.99967265,train,1
SE018056,0,0.18555157,train,0
SE035721,1,0.9994617,train,1
SE000692,0,0.00067695323,train,0
SE003196,0,0.21715443,train,0
SE026979,0,0.20481582,train,0
SE034500,0,0.108532995,train,0
SE038013,0,0.17849573,train,0
SE035975,0,0.16729164,train,0
SE028031,0,0.15383728,train,0
SE014683,0,0.18163267,train,0
SE003312,0,0.16653974,train,0
SE026603,0,0.10169214,train,0
SE000109,0,0.1752032,train,0
SE000385,0,0.05271058,train,0
SE034473,0,0.1533739,train,0
SE019947,1,0.99961674,train,1
SE008811,0,0.18358864,train,0
SE013185,1,0.2052364,train,0
SE036828,0,0.21781513,train,0
SE012644,0,0.16712898,train,0
SE002287,0,0.19444297,train,0
SE031227,0,0.16599241,train,0
SE020670,0,0.20950842,train,0
SE017505,1,0.9996049,train,1
SE033674,0,0.19444297,train,0
SE006840,0,0.21227969,train,0
SE038480,1,0.16522613,train,0
SE035934,0,0.1222731,train,0
SE016764,0,0.17505683,train,0
SE025851,0,0.15383582,train,0
SE014300,0,0.1848611,train,0
SE001862,0,0.12272488,train,0
SE014494,0,0.10769569,train,0
SE036450,0,0.2041091,train,0
SE037003,0,0.15856224,train,0
SE008538,0,0.19814704,train,0
SE011498,0,0.17136618,train,0
SE037284,0,0.21067365,train,0
SE017255,0,0.1225218,train,0
SE031944,1,0.9996107,train,1
SE019335,0,0.121072434,train,0
SE032760,0,0.095842816,train,0
SE018319,0,0.0007560689,train,0
SE024889,0,0.0006734812,train,0
SE026869,0,0.14274791,train,0
SE008453,0,0.1454822,train,0
SE012823,0,0.17437238,train,0
SE019527,0,0.20241025,train,0
SE013601,0,0.00069075543,train,0
SE019308,0,0.15506992,train,0
SE011568,0,0.15506992,train,0
SE004288,0,0.12129955,train,0
SE000506,0,0.113454625,train,0
SE001220,0,0.15053599,train,0
SE032155,0,0.1620201,train,0
SE011419,0,0.18469295,train,0
SE000680,0,0.16302283,train,0
SE033145,1,0.99895906,train,1
SE022406,0,0.16465001,train,0
SE010724,0,0.1801315,train,0
SE011270,0,0.17692749,train,0
SE028267,0,0.19892715,train,0
SE030991,0,0.19252758,train,0
SE006331,1,0.9996049,train,1
SE006253,0,0.17204572,train,0
SE001562,0,0.12872724,train,0
SE015429,0,0.20765851,train,0
SE013204,0,0.1515241,train,0
SE039558,1,0.9994118,train,1
SE007254,0,0.16315313,train,0
SE007384,1,0.9996741,train,1
SE017390,0,0.1711675,train,0
SE003430,0,0.19575313,train,0
SE002706,0,0.1757818,train,0
SE033911,0,0.16195114,train,0
SE013747,0,0.13704427,train,0
SE010501,0,0.16684474,train,0
SE022376,0,0.14950353,train,0
SE017162,1,0.9994438,train,1
SE034570,0,0.12571988,train,0
SE023851,0,0.16184197,train,0
SE027184,1,0.9995616,train,1
SE035972,0,0.20287487,train,0
SE029818,0,0.15756229,train,0
SE006094,0,0.16087596,train,0
SE001528,1,0.99963105,train,1
SE018294,1,0.9995881,train,1
SE002418,0,0.124435894,train,0
SE008520,0,0.14260845,train,0
SE002381,0,0.17175798,train,0
SE025506,0,0.13328473,train,0
SE014698,0,0.16714479,train,0
SE011170,0,0.14477222,train,0
SE022699,1,0.99961483,train,1
SE010637,0,0.1482762,train,0
SE005401,0,0.081746615,train,0
SE008702,1,0.99907994,train,1
SE020805,0,0.13212804,train,0
SE011519,0,0.20784979,train,0
SE026778,0,0.05003262,train,0
SE010214,0,0.000982067,train,0
SE009003,0,0.16693227,train,0
SE000727,0,0.21608874,train,0
SE026769,1,0.99965703,train,1
SE033933,0,0.2366775,train,0
SE003232,1,0.20775071,train,0
SE017066,0,0.0007606003,train,0
SE030574,0,0.21363175,train,0
SE030275,0,0.21330357,train,0
SE007994,1,0.9996538,train,1
SE015808,0,0.150445,train,0
SE014678,1,0.99953306,train,1
SE029916,0,0.16315335,train,0
SE019098,0,0.18170421,train,0
SE013751,0,0.16006282,train,0
SE008992,0,0.15273803,train,0
SE013207,0,0.17665136,train,0
SE002386,0,0.20751397,train,0
SE029096,0,0.16995995,train,0
SE037008,0,0.23200783,train,0
SE012796,0,0.0007338109,train,0
SE010050,0,0.1588301,train,0
SE035156,1,0.9995987,train,1
SE012719,0,0.13317174,train,0
SE003411,0,0.1477051,train,0
SE001315,0,0.15004233,train,0
SE033287,1,0.9994624,train,1
SE032674,1,0.99950206,train,1
SE007752,0,0.15942445,train,0
SE022238,0,0.0008016293,train,0
SE027607,0,0.16559374,train,0
SE038284,0,0.13628082,train,0
SE016295,0,0.16437449,train,0
SE014620,0,0.16821477,train,0
SE004442,1,0.16442071,train,0
SE031754,1,0.99940944,train,1
SE015566,0,0.0006990523,train,0
SE015511,0,0.1197712,train,0
SE019041,0,0.1742137,train,0
SE024484,0,0.14086862,train,0
SE007503,1,0.9994222,train,1
SE000959,0,0.13148776,train,0
SE035984,0,0.14802663,train,0
SE025068,0,0.12290572,train,0
SE010845,1,0.999508,train,1
SE024836,0,0.1478857,train,0
SE037620,0,0.15169337,train,0
SE026125,0,0.0006690708,train,0
SE026153,1,0.9994456,train,1
SE019101,0,0.1640082,train,0
SE004273,0,0.0007305928,train,0
SE014299,0,0.054822717,train,0
SE038959,0,0.1795595,train,0
SE010799,0,0.1487549,train,0
SE007307,1,0.13214284,train,0
SE031214,0,0.14364387,train,0
SE032669,0,0.17751695,train,0
SE013634,0,0.17318214,train,0
SE021581,0,0.18030168,train,0
SE036451,0,0.27093244,train,0
SE032645,0,0.13772947,train,0
SE033420,0,0.1442831,train,0
SE037457,0,0.13582918,train,0
SE008382,1,0.999602,train,1
SE030649,1,0.99945885,train,1
SE018339,0,0.11964443,train,0
SE024613,0,0.16728951,train,0
SE031737,0,0.16930796,train,0
SE014482,0,0.27511355,train,0
SE006414,0,0.14851624,train,0
SE018731,0,0.00077419344,train,0
SE000902,0,0.13298962,train,0
SE038122,0,0.25062585,train,0
SE034363,0,0.14285193,train,0
SE037439,0,0.14108926,train,0
SE015694,0,0.21011819,train,0
SE001329,1,0.99926716,train,1
SE027556,0,0.13053574,train,0
SE030851,1,0.99965477,train,1
SE024844,0,0.1912463,train,0
SE016630,0,0.0006968623,train,0
SE030257,0,0.14931531,train,0
SE001087,0,0.12186132,train,0
SE021680,0,0.0005994193,train,0
SE015697,0,0.21089563,train,0
SE016095,0,0.0010551533,train,0
SE009980,0,0.20710567,train,0
SE010147,1,0.9996691,train,1
SE007499,0,0.09835769,train,0
SE005733,0,0.26252195,train,0
SE032664,0,0.16175331,train,0
SE014726,0,0.14267994,train,0
SE017957,0,0.00081128674,train,0
SE012428,1,0.19545043,train,0
SE022755,0,0.1571273,train,0
SE010086,1,0.99942315,train,1
SE013511,0,0.18919735,train,0
SE032732,0,0.09663222,train,0
SE031427,0,0.16177975,train,0
SE013904,0,0.2204344,train,0
SE010434,0,0.12580161,train,0
SE035877,0,0.16254717,train,0
SE025228,0,0.14003174,train,0
SE027100,1,0.19359395,train,0
SE027627,0,0.14133818,train,0
SE015358,0,0.00075013126,train,0
SE030389,1,0.9994993,train,1
SE025165,0,0.17335789,train,0
SE008383,0,0.15582338,train,0
SE003289,0,0.16930525,train,0
SE039214,0,0.16358241,train,0
SE007622,0,0.2059938,train,0
SE003219,0,0.13666059,train,0
SE025870,0,0.17010137,train,0
SE033046,0,0.1700686,train,0
SE019252,0,0.15045944,train,0
SE009733,1,0.99954045,train,1
SE002819,0,0.14686964,train,0
SE026251,0,0.16077904,train,0
SE003194,1,0.9994562,train,1
SE000372,0,0.15069228,train,0
SE012360,0,0.18687753,train,0
SE027927,0,0.17596552,train,0
SE003029,0,0.12521666,train,0
SE009988,0,0.1406304,train,0
SE004625,1,0.99970275,train,1
SE036544,0,0.0008455261,train,0
SE037837,0,0.15603909,train,0
SE015829,0,0.18100545,train,0
SE016759,0,0.22616278,train,0
SE013039,1,0.99964106,train,1
SE024220,0,0.176638,train,0
SE036207,0,0.14239253,train,0
SE030167,1,0.9996216,train,1
SE007028,0,0.15073858,train,0
SE025428,0,0.0006994082,train,0
SE015252,0,0.17586255,train,0
SE010469,0,0.1680805,train,0
SE011557,0,0.12603156,train,0
SE015350,0,0.17848416,train,0
SE038467,0,0.15603733,train,0
SE030789,0,0.14426658,train,0
SE011313,0,0.114536636,train,0
SE030879,0,0.10705474,train,0
SE029687,0,0.15669489,train,0
SE005850,0,0.1257317,train,0
SE015906,0,0.2004795,train,0
SE031388,0,0.14729019,train,0
SE004298,1,0.99949455,train,1
SE008367,0,0.36133018,train,0
SE021817,0,0.13491505,train,0
SE034278,0,0.19286473,train,0
SE022071,1,0.9995402,train,1
SE005854,0,0.17351969,train,0
SE013819,0,0.1624923,train,0
SE010998,0,0.00069894537,train,0
SE037512,0,0.11695215,train,0
SE036362,0,0.15958922,train,0
SE030111,0,0.16110636,train,0
SE032232,0,0.15078335,train,0
SE006938,0,0.11706593,train,0
SE020176,0,0.0007691588,train,0
SE036157,0,0.15191703,train,0
SE039241,0,0.000504303,train,0
SE030238,0,0.15046313,train,0
SE023244,0,0.1879158,train,0
SE036538,0,0.17803772,train,0
SE002100,0,0.14842892,train,0
SE012439,0,0.11368785,train,0
SE004891,1,0.15601334,train,0
SE006672,0,0.20082757,train,0
SE016634,0,0.17377937,train,0
SE017499,1,0.9994491,train,1
SE001460,0,0.15046778,train,0
SE032794,1,0.99923015,train,1
SE017412,0,0.14530213,train,0
SE021206,0,0.15050949,train,0
SE028786,0,0.14268346,train,0
SE037328,0,0.14268346,train,0
SE026111,0,0.17708288,train,0
SE028650,0,0.16184197,train,0
SE036893,0,0.13682766,train,0
SE021281,0,0.18066518,train,0
SE001134,1,0.9995641,train,1
SE007586,0,0.14334022,train,0
SE022523,0,0.1353091,train,0
SE023633,0,0.00095438154,train,0
SE005189,0,0.1833582,train,0
SE002966,0,0.16608179,train,0
SE022814,0,0.15107447,train,0
SE002513,1,0.99949193,train,1
SE013201,0,0.1973544,train,0
SE037880,0,0.16718037,train,0
SE030610,0,0.00082490453,train,0
SE011182,0,0.18432358,train,0
SE023780,0,0.19135529,train,0
SE020451,1,0.15259185,train,0
SE011982,0,0.17719561,train,0
SE018386,0,0.20469762,train,0
SE019203,0,0.13763909,train,0
SE037268,0,0.1482762,train,0
SE039016,0,0.18014243,train,0
SE014772,0,0.17592697,train,0
SE026261,0,0.16133162,train,0
SE028491,0,0.16217874,train,0
SE038723,0,0.14164299,train,0
SE005904,0,0.16994838,train,0
SE000958,0,0.15402524,train,0
SE026615,0,0.16133162,train,0
SE031142,0,0.16157484,train,0
SE035075,1,0.99964476,train,1
SE028995,0,0.14562899,train,0
SE002914,0,0.15109394,train,0
SE019735,0,0.1778449,train,0
SE033743,0,0.00072274543,train,0
SE031333,1,0.99952555,train,1
SE036041,0,0.13719845,train,0
SE012347,0,0.21238668,train,0
SE016350,0,0.00030508617,train,0
SE006568,0,0.20621637,train,0
SE017319,0,0.1139074,train,0
SE009377,1,0.99965966,train,1
SE006245,0,0.13959895,train,0
SE001642,1,0.9995498,train,1
SE004581,0,0.14395605,train,0
SE020836,0,0.143905,train,0
SE008193,0,0.18057677,train,0
SE027192,0,0.21494089,train,0
SE030330,0,0.1301857,train,0
SE010381,0,0.2567729,train,0
SE011558,0,0.0007603257,train,0
SE018282,1,0.99961144,train,1
SE003665,0,0.17587611,train,0
SE027188,0,0.17935586,train,0
SE033827,0,0.00083658675,train,0
SE005456,0,0.17526776,train,0
SE029403,0,0.17354584,train,0
SE018875,0,0.14690845,train,0
SE007817,1,0.9994568,train,1
SE010201,0,0.00065348385,train,0
SE027096,0,0.19020143,train,0
SE038560,0,0.15702844,train,0
SE022682,0,0.15380968,train,0
SE011053,0,0.16442071,train,0
SE000426,0,0.00088476355,train,0
SE021975,0,0.1726931,train,0
SE009156,0,0.121933736,train,0
SE038654,0,0.21132073,train,0
SE023839,1,0.9996544,train,1
SE031485,0,0.15689981,train,0
SE015311,1,0.16347902,train,0
SE039935,1,0.99959165,train,1
SE039236,0,0.1440301,train,0
SE011423,0,0.240343,train,0
SE014394,0,0.113161944,train,0
SE014640,1,0.99953556,train,1
SE038351,0,0.20903254,train,0
SE008663,0,0.13081753,train,0
SE018420,0,0.0008007602,train,0
SE023724,0,0.16462325,train,0
SE039570,1,0.99952006,train,1
SE017647,0,0.12151249,train,0
SE015825,0,0.19666307,train,0
SE039831,0,0.13532172,train,0
SE011555,0,0.29839784,train,0
SE024649,0,0.17019118,train,0
SE023924,0,0.12965553,train,0
SE028044,0,0.14501663,train,0
SE038975,0,0.12715791,train,0
SE002192,0,0.12784755,train,0
SE035933,0,0.0694139,train,0
SE004899,0,0.18431015,train,0
SE028130,0,0.14041251,train,0
SE000532,0,0.19644892,train,0
SE014037,0,0.14190927,train,0
SE023697,0,0.087942295,train,0
SE006191,0,0.22614554,train,0
SE021479,0,0.16391683,train,0
SE000434,0,0.12555262,train,0
SE026824,0,0.13071372,train,0
SE009430,0,0.18585318,train,0
SE030508,1,0.16424471,train,0
SE019697,0,0.18081883,train,0
SE004587,0,0.18172526,train,0
SE036567,0,0.13662395,train,0
SE001165,0,0.090701364,train,0
SE026282,0,0.0005670754,train,0
SE000218,0,0.13233615,train,0
SE039403,1,0.99959105,train,1
SE031504,0,0.07953172,train,0
SE039771,0,0.19199981,train,0
SE019035,0,0.15907562,train,0
SE008218,0,0.0007628509,train,0
SE016098,0,0.23773128,train,0
SE032337,0,0.25216714,train,0
SE019524,0,0.06906648,train,0
SE021717,1,0.99961865,train,1
SE035160,0,0.15267116,train,0
SE001709,0,0.2375656,train,0
SE030190,0,0.14758424,train,0
SE037468,0,0.20181838,train,0
SE000234,0,0.000863433,train,0
SE034166,0,0.21521555,train,0
SE037981,0,0.16915505,train,0
SE007859,0,0.2204344,train,0
SE027505,0,0.14210238,train,0
SE019390,0,0.1796927,train,0
SE017181,0,0.113194756,train,0
SE026331,0,0.15470758,train,0
SE038008,0,0.21831572,train,0
SE009054,0,0.16930525,train,0
SE006681,0,0.15813482,train,0
SE034775,0,0.11036106,train,0
SE001259,0,0.17737345,train,0
SE029499,0,0.16665962,train,0
SE014025,0,0.183106,train,0
SE006395,0,0.13314559,train,0
SE006068,0,0.20509578,train,0
SE014119,0,0.21769884,train,0
SE008950,0,0.21613428,train,0
SE012432,0,0.15230969,train,0
SE018720,0,0.00080671377,train,0
SE002645,0,0.15393284,train,0
SE022703,0,0.12717551,train,0
SE024998,0,0.0006629128,train,0
SE016322,0,0.20207094,train,0
SE020210,0,0.16650108,train,0
SE036109,1,0.14269546,train,0
SE037021,0,0.16743357,train,0
SE004327,0,0.116343625,train,0
SE019282,0,0.16319919,train,0
SE023805,0,0.17848538,train,0
SE003019,0,0.00065475993,train,0
SE031429,1,0.18894601,train,0
SE039357,0,0.15686634,train,0
SE007463,0,0.18410133,train,0
SE039415,0,0.14876822,train,0
SE029596,0,0.14475702,train,0
SE004766,1,0.99949694,train,1
SE003799,0,0.1468723,train,0
SE000350,0,0.00052567676,train,0
SE021191,0,0.00045245126,train,0
SE001574,0,0.0005746103,train,0
SE004925,0,0.17512943,train,0
SE033379,0,0.15416642,train,0
SE010022,1,0.9995739,train,1
SE026664,0,0.14738089,train,0
SE003275,0,0.13903381,train,0
SE027529,0,0.16243216,train,0
SE033711,0,0.17089948,train,0
SE031698,0,0.09792998,train,0
SE022956,0,0.13631617,train,0
